bank_name,volume_mn,approved_pct,bd_pct,td_pct,reversal_success_pct,vol_share_pct,rank
State Bank Of India,6439.49,91.18,8.65,0.17,97.96,25.55,1
Hdfc Bank Ltd.,1735.66,93.43,6.55,0.02,96.54,6.89,2
Bank Of Baroda,1713.53,87.84,12.09,0.07,97.6,6.8,3
Union Bank Of India,1508.82,90.47,9.52,0.01,97.92,5.99,4
Punjab National Bank,1397.83,88.6,10.54,0.87,74.84,5.55,5
Canara Bank,1205.08,90.95,8.95,0.09,90.67,4.78,6
Kotak Mahindra Bank,1164.23,89.3,10.7,0.01,98.05,4.62,7
Axis Bank Ltd.,1056.95,93.43,6.56,0.01,99.77,4.19,8
India Post Payments Bank Limited,895.96,81.48,18.1,0.42,92.35,3.56,9
Indian Bank,804.65,86.16,13.32,0.52,65.49,3.19,10
Icici Bank Ltd.,795.41,95.4,4.58,0.02,96.38,3.16,11
Airtel Payments Bank Limited,771.76,73.99,25.73,0.28,93.47,3.06,12
Bank Of India,749.48,91.15,8.8,0.05,92.37,2.97,13
Indian Overseas Bank,437.45,90.73,9.25,0.02,98.78,1.74,14
Central Bank Of India,429.9,86.54,11.91,1.54,74.49,1.71,15
Uco Bank,343.09,87.65,12.29,0.06,95.09,1.36,16
Federal Bank Ltd.,300.98,90.58,9.38,0.04,97.95,1.19,17
Fino Payments Bank Ltd.,286.37,76.41,23.09,0.5,90.48,1.14,18
Bank Of Maharashtra,263.89,90.82,8.87,0.31,85.93,1.05,19
Indusind Bank Ltd.,258.24,85.37,14.55,0.08,80.81,1.02,20
Idbi Bank Ltd.,234.77,90.84,8.39,0.77,61.05,0.93,21
Tri O Tech Solutions Private Limited,194.3,100.0,0.0,0.0,0.0,0.77,22
Yes Bank Ltd.,175.62,92.12,7.75,0.13,87.56,0.7,23
Karnataka Bank,167.31,90.05,9.74,0.21,78.38,0.66,24
Idfc Bank Ltd.,167.07,92.45,7.53,0.03,92.84,0.66,25
The Jammu & Kashmir Bank Limited,126.89,92.45,7.5,0.05,90.74,0.5,26
Karur Vysya Bank,109.01,92.42,7.4,0.18,88.11,0.43,27
Jio Payments Bank Ltd,106.77,80.78,19.07,0.14,99.19,0.42,28
Bandhan Bank Limited,101.98,93.76,5.3,0.93,29.16,0.4,29
Au Small Finance Bank,95.59,86.14,13.66,0.2,85.3,0.38,30
Baroda U.P. Bank,92.52,89.42,5.67,4.91,49.12,0.37,31
Slice Small Finance Bank Limited(North East Small Finance Bank Limited),85.94,94.0,5.93,0.07,95.9,0.34,32
The South Indian Bank Limited,85.44,93.16,6.45,0.39,98.2,0.34,33
Nsdl Payments Bank Limited,84.08,73.85,25.77,0.39,95.45,0.33,34
Punjab And Sind Bank,73.48,87.01,12.63,0.37,86.12,0.29,35
Rajasthan Marudhara Gramin Bank,67.91,84.03,15.26,0.71,91.26,0.27,36
Tamilnad Mercantile Bank Limited,67.33,90.84,8.44,0.72,88.17,0.27,37
Ujjivan Small Finance Bank Limited,66.55,86.03,13.73,0.23,92.89,0.26,38
City Union Bank,63.65,91.5,8.45,0.05,99.68,0.25,39
Karnataka Gramin Bank,63.58,86.81,11.5,1.69,39.42,0.25,40
Kerala Gramin Bank,61.29,92.72,6.98,0.3,79.55,0.24,41
Telangana Grameena Bank,54.81,86.71,11.72,1.57,47.99,0.22,42
Chaitanya Godavari Grameena Bank,50.14,88.36,11.0,0.64,77.23,0.2,43
Maharashtra Gramin Bank,46.28,83.38,15.54,1.08,60.34,0.18,44
Esaf Small Finance Bank Ltd,38.36,95.1,3.4,1.5,66.09,0.15,45
Saraswat Co-Operative Bank,35.29,92.46,6.54,1.0,58.76,0.14,46
Sarva Haryana Gramin Bank,32.85,84.69,14.23,1.08,79.48,0.13,47
Dbs Bank India Limited,32.61,90.71,9.21,0.08,92.92,0.13,48
Equitas Small Finance Bank,30.79,88.2,11.48,0.32,86.46,0.12,49
One Mobikwik Systems Limited,29.58,100.0,0.0,0.0,0.0,0.12,50
